id,event_id,minute,second,team_id,player_id,x,y,end_x,end_y,qualifiers,is_touch,blocked_x,blocked_y,goal_mouth_z,goal_mouth_y,is_shot,card_type,is_goal,type_display_name,outcome_type_display_name,period_display_name,player_id,shirt_no,name,position,team_id
2635478663,21,1,0.0,51,377219,56.5,24.5,58.3,45.5,"[{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Center'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '58.3'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '45.5'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '1.44'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '14.4'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}]",True,,,,,False,False,False,Pass,Successful,FirstHalf,377219,20,Giovanni González,DC,51
2635478741,22,1,5.0,51,391562,52.8,66.3,48.2,88.1,"[{'type': {'value': 213, 'displayName': 'Angle'}, 'value': '1.89'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '15.6'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '48.2'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '88.1'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}]",True,,,,,False,False,False,Pass,Successful,FirstHalf,391562,12,Samú Costa,MC,51
2635478773,23,1,7.0,51,444252,47.8,87.8,45.2,71.1,"[{'type': {'value': 213, 'displayName': 'Angle'}, 'value': '4.48'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '71.1'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '45.2'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '11.7'}]",True,,,,,False,False,False,Pass,Successful,FirstHalf,444252,6,Copete,DC,51
2635478885,24,1,9.0,51,391562,43.7,70.1,36.3,37.7,"[{'type': {'value': 213, 'displayName': 'Angle'}, 'value': '4.37'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '23.4'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '37.7'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '36.3'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}]",True,,,,,False,False,False,Pass,Successful,FirstHalf,391562,12,Samú Costa,MC,51
2635481219,37,2,33.0,51,377219,7.6,6.0,,,"[{'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 285, 'displayName': 'Defensive'}}, {'type': {'value': 233, 'displayName': 'OppositeRelatedEvent'}, 'value': '16'}]",True,,,,,False,False,False,TakeOn,Unsuccessful,FirstHalf,377219,20,Giovanni González,DC,51
2635635013,830,93,29.0,62,136987,10.4,89.9,,,[],False,,,,,False,False,False,BallRecovery,Successful,SecondHalf,136987,5,Renato Tapia,MC,62
2635479039,25,1,13.0,51,294006,36.4,26.6,90.9,6.1,"[{'type': {'value': 1, 'displayName': 'Longball'}}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '6.04'}, {'type': {'value': 155, 'displayName': 'Chipped'}}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '90.9'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '58.9'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Right'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '6.1'}]",True,,,,,False,False,False,Pass,Successful,FirstHalf,294006,21,Antonio Raíllo,DC,51
2635479229,26,1,18.0,51,294848,98.7,8.6,85.5,33.5,"[{'type': {'value': 20, 'displayName': 'RightFoot'}}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '2.26'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '21.9'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 155, 'displayName': 'Chipped'}}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '33.5'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Center'}, {'type': {'value': 2, 'displayName': 'Cross'}}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '85.5'}]",True,,,,,False,False,False,Pass,Successful,FirstHalf,294848,15,Pablo Maffeo,DR,51
2635479243,27,1,20.0,51,425092,85.3,33.5,,,"[{'type': {'value': 15, 'displayName': 'Head'}}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Center'}]",True,,,,,False,False,False,BallTouch,Unsuccessful,FirstHalf,425092,18,Antonio Sánchez,MR,51
2635479209,10,1,23.0,62,374813,8.5,81.7,,,[],False,,,,,False,False,False,BallRecovery,Successful,FirstHalf,374813,23,Manu Sánchez,DL,62
2635479453,11,1,23.0,62,374813,8.7,81.7,54.2,100.0,"[{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Left'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '54.2'}, {'type': {'value': 1, 'displayName': 'Longball'}}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '0.27'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '100.0'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '49.6'}]",True,,,,,False,False,False,Pass,Unsuccessful,FirstHalf,374813,23,Manu Sánchez,DL,62
