Correlativo,Fecha,ID,Categoría,Edad,Talla,IMC,PesoActual_Kg,MA_Per,MA_Kg,MO_kg,MM_Per,MM_Kg,IMO,Sum6Pliegues,Observaciones,TallaSentado,Biacromial,T_delTorax,AntPost_delTorax,Biiliocristal,Humero,Femur,Cabeza,Brazo_Relajado,Brazo_Flexionado,Antebrazo,Torax,Cintura,Cadera,Muslo1cm_Gluteo,MusloMedio,Pierna,Triceps,Subescapular,Supraespinal,Abdominal,Muslo,Pantorrilla,Fecha_registro,Nro_Evaluacion,MG_Per
118,2023-01-09,10000056,Sub-18,17.4,176.6,23.3105763964863,72.7,21.1832127322306,15.4001956563316,8.54651943921808,47.7836993876774,34.7387494548414,4.06466628923033,51.1,,95.4,41.0,40.0,20.1,27.8,7.2,10.0,56.2,28.7,30.2,25.4,96.3,77.4,96.8,57.6,51.7,36.4,8.3,7.9,8.7,14.2,6.4,5.6,2023-10-19 19:58:19.247,1,
119,2023-01-09,10000067,Sub-17,16.5,168.5,22.1539328513943,62.9,24.6563164135713,15.5088230241363,7.87901793501712,45.8070818076473,28.8126544570102,3.65688397902442,56.6,,80.8,40.0,27.7,17.4,26.5,6.6,9.6,54.1,27.0,29.4,24.7,85.9,73.6,90.9,54.2,49.5,36.8,9.6,9.5,9.6,8.9,12.3,6.7,2023-10-19 19:58:19.247,1,
120,2023-01-09,10000070,Sub-18,17.7,166.9,25.1654873111736,70.1,21.4125901331086,15.0102256833091,7.76350391115122,50.2964458166671,35.2578085174836,4.54148138791307,58.0,,88.4,37.2,29.4,20.5,25.8,7.2,10.4,55.8,30.4,32.0,26.7,92.7,76.9,95.4,59.5,55.4,37.6,9.6,7.1,10.2,12.1,11.3,7.7,2023-10-19 19:58:19.247,1,
121,2023-01-09,10000085,Sub-18,17.9,179.6,21.7322830739927,70.1,23.2528068115416,16.3002175748907,7.87124164463782,45.0657908549719,31.5911193893353,4.01348615829325,44.1,,98.1,32.9,31.8,19.8,31.9,6.9,9.9,56.0,26.3,28.9,25.5,88.1,77.7,96.0,52.9,50.4,37.0,8.3,8.3,9.3,6.2,7.4,4.6,2023-10-19 19:58:19.247,1,
122,2023-01-09,10000093,Sub-18,15.9,179.5,20.4840123835166,66.0,22.0501757732087,14.5531160103177,8.92549087160388,46.5646649611346,30.7326788743488,3.44324803155911,37.3,,96.2,40.4,29.4,17.7,27.3,7.4,10.1,56.0,25.2,27.5,25.0,88.2,72.1,90.2,52.5,48.2,37.2,6.2,7.1,8.4,5.2,7.4,3.0,2023-10-19 19:58:19.247,1,
123,2023-01-09,10000111,Sub-18,17.7,158.7,22.5127840452257,56.7,23.1811873444989,13.1437332243309,6.9082872829752,47.5114585839811,26.9389970171173,3.89951892757932,59.2,,89.2,37.7,27.7,18.8,25.5,7.2,9.7,51.5,27.0,29.2,24.0,86.5,71.4,92.0,55.3,52.1,34.1,9.2,8.3,10.2,15.3,7.4,8.8,2023-10-19 19:58:19.247,1,
124,2023-01-09,10000060,Sub-18,16.8,182.5,24.3197598048414,81.0,20.3887220438827,16.5148648555449,10.125411682467,48.7573515928448,39.4934547902043,3.90042953597535,44.8,,96.4,42.8,30.8,20.6,30.8,7.2,10.0,54.7,31.0,33.5,27.0,97.0,81.6,98.6,57.0,56.4,38.0,7.0,8.7,8.4,6.2,8.9,5.6,2023-10-19 19:58:19.247,1,
125,2023-01-09,10000208,Sub-18,17.8,173.0,23.8898726987203,71.5,28.0609012005651,20.0635443584041,6.66026972727659,45.5046529449112,32.5358268556115,4.88506144463845,76.5,,97.4,31.0,29.3,18.9,28.8,6.4,10.4,57.0,29.4,30.6,24.2,86.8,77.3,100.5,62.3,53.6,38.0,10.9,12.4,12.2,16.3,12.3,12.4,2023-10-19 19:58:19.247,1,
126,2023-01-09,10000026,Sub-18,17.7,172.4,22.1386620442396,65.8,21.1323044811039,13.9050563485664,8.36463846097938,48.9478251543262,32.2076689515466,3.85045559372277,44.5,,93.8,40.5,28.5,17.3,27.1,7.2,10.0,54.0,28.7,30.5,26.0,86.6,75.5,91.0,55.0,52.1,38.2,6.6,7.9,9.6,10.5,6.4,3.5,2023-10-19 19:58:19.247,1,
127,2023-01-09,10000130,Sub-18,16.4,190.3,19.9369913754563,72.2,26.8096372821741,19.3565581177297,8.41052625888785,44.9889074999382,32.4819912149554,3.86206406295087,48.1,,74.3,41.0,30.0,21.6,27.3,6.8,10.0,57.7,27.7,30.1,25.2,94.2,74.1,91.0,52.0,50.5,35.5,7.5,9.1,9.6,8.9,7.4,5.6,2023-10-19 19:58:19.247,1,
128,2023-01-09,10000131,Sub-18,17.9,168.7,21.1527251350946,60.2,22.8445110380095,13.7523956448817,7.51523248070579,46.6376815823246,28.0758843125594,3.73586371208608,46.6,,92.0,39.1,27.9,18.2,25.8,6.4,9.1,57.7,26.9,28.4,22.9,86.5,72.5,88.3,52.5,47.7,35.4,6.6,9.1,9.0,9.4,7.9,4.6,2023-10-19 19:58:19.247,1,
129,2023-01-09,10000141,Sub-18,17.6,171.8,23.0389453041886,68.0,22.8208579893491,15.5181834327574,8.7336221589177,47.8915974932172,32.5662862953877,3.72884076077587,54.0,,93.1,40.4,28.3,20.1,28.5,7.4,9.8,53.7,28.6,29.9,26.5,91.1,73.2,97.3,53.5,53.0,36.5,7.5,9.1,9.6,15.8,6.4,5.6,2023-10-19 19:58:19.247,1,
130,2023-01-09,10000214,Sub-18,17.4,172.6,24.168567703543,72.0,22.1881130395262,15.9754413884589,8.88962564429274,44.8369494918821,32.2826036341551,3.63149191269724,61.7,,95.6,42.1,28.9,40.3,27.2,7.6,10.4,55.6,29.6,30.8,27.0,91.3,75.3,95.8,58.0,54.5,37.2,8.8,11.5,9.6,15.8,9.9,6.1,2023-10-19 19:58:19.247,1,
131,2023-01-09,10000165,Sub-18,16.5,170.2,25.8906021946946,75.0,22.3305069568602,16.7478802176451,8.94690673853316,51.3079490585705,38.4809617939278,4.30103530957748,57.6,,133.7,37.5,31.0,20.0,29.5,7.3,9.8,55.3,31.2,31.2,26.4,96.1,81.2,96.5,56.5,55.0,36.5,9.6,9.1,9.6,16.3,7.9,5.1,2023-10-19 19:58:19.247,1,
132,2023-03-01,10000048,Sub-16,15.7,173.8,18.1087211866079,54.7,25.3645116824764,13.8743878903146,7.40193844577647,43.4588488147661,23.771990301677,3.21158983904294,36.3,,89.1,37.9,25.9,15.1,23.7,6.9,9.4,58.1,23.8,27.1,23.5,81.4,66.7,81.2,47.2,48.0,33.5,5.9,5.4,4.3,6.5,9.2,5.0,2023-10-19 19:58:19.247,2,
133,2023-03-01,10000179,Sub-16,15.4,189.6,19.8619345190408,71.4,25.2099253117775,17.9998866726091,10.5991729321299,42.1250364847622,30.0772760501202,2.83770028498593,40.5,,95.6,40.0,27.4,18.8,30.3,7.9,10.7,58.0,26.6,28.5,26.0,87.0,74.7,93.0,51.9,48.0,36.1,7.6,7.8,5.3,7.5,7.3,5.0,2023-10-19 19:58:19.247,2,
134,2023-03-01,10000055,Sub-18,17.8,174.0,24.441802087462,74.0,23.260257680225,17.2125906833665,8.60330455011453,47.7194090832544,35.3123627216083,4.10451152994906,64.5,,94.8,41.9,30.1,22.4,28.3,7.0,9.9,54.1,30.0,31.7,25.6,95.1,80.7,96.4,60.5,59.0,36.0,11.2,10.3,11.5,20.2,8.2,3.1,2023-10-19 19:58:19.247,2,
135,2023-03-01,10000156,Sub-17,16.6,168.4,23.5554978814157,66.8,19.61514436548,13.1029164361407,8.40698169194282,50.0978576826469,33.4653689320081,3.98066394792807,41.3,,91.5,41.0,29.8,18.6,25.0,7.3,9.8,54.7,28.6,31.0,27.7,90.3,72.6,91.0,54.6,53.1,35.3,6.8,8.6,4.3,7.5,8.2,5.9,2023-10-19 19:58:19.247,2,
136,2023-03-01,10000026,Sub-18,17.8,172.4,22.2732435764235,66.2,21.0491214710221,13.9345184138167,8.45561477929641,49.4552491595029,32.7393749435909,3.87190947058673,43.8,Reducir 0.6 kg de masa adiposa y aumentar 1.1 kg de masa muscular,93.8,40.5,28.5,17.3,27.1,7.2,10.0,54.0,28.7,30.9,26.3,86.9,72.9,91.2,55.3,52.3,38.5,8.5,7.0,8.4,8.6,8.2,3.1,2023-10-19 19:58:19.247,2,
137,2023-03-01,10000137,Sub-17,15.2,166.7,21.7353050085844,60.4,19.4223655847666,11.731108813199,7.86639460186123,48.3390245392029,29.1967708216786,3.71158228126141,36.1,,88.6,38.9,28.5,17.6,27.1,6.9,9.5,53.9,27.6,30.0,24.8,89.5,76.5,90.1,51.2,47.2,31.6,6.8,7.0,5.3,8.6,5.3,3.1,2023-10-19 19:58:19.247,2,
138,2023-03-01,10000144,Sub-16,15.6,186.7,20.4550664158506,71.3,25.1577168870961,17.9374521404995,8.44653370457978,45.7333661999854,32.6078901005896,3.86050553292759,46.5,,99.1,39.5,29.1,20.1,27.9,6.9,10.2,57.7,26.8,29.1,25.3,90.4,73.5,91.7,54.0,52.3,38.6,8.5,7.8,5.3,11.2,8.2,5.5,2023-10-19 19:58:19.247,2,
139,2023-03-01,10000169,Sub-17,16.6,189.1,23.0992026859954,82.6,22.1648239518445,18.3081445842235,10.5183426950141,49.1082477572361,40.5634126474771,3.85644524271918,42.7,,97.9,43.0,31.6,18.7,28.3,7.5,10.7,57.0,28.5,30.5,26.2,92.2,72.2,99.2,60.7,57.6,40.3,6.8,8.6,6.4,8.6,8.2,4.1,2023-10-19 19:58:19.247,2,
140,2023-03-01,10000184,Sub-16,16.1,181.9,24.4804626263426,81.0,19.713355807832,15.967818204344,10.0786516934228,50.3547739934723,40.7873669347126,4.04690708394356,42.7,,96.0,41.2,30.8,20.8,30.3,7.4,10.2,57.2,30.5,39.5,26.7,95.5,80.2,98.5,59.0,56.1,39.4,7.6,8.6,5.3,12.8,5.3,3.1,2023-10-19 19:58:19.247,2,
141,2023-03-01,10000099,Sub-16,15.9,161.4,22.9558893756459,59.8,18.6533048046538,11.1546762731829,7.28107820426516,51.0820116453835,30.5470429639393,4.19540102536534,36.8,,85.0,37.8,27.7,18.9,25.3,6.3,9.2,56.0,28.0,30.2,25.1,87.2,70.7,90.0,52.7,51.0,35.5,6.8,7.0,4.3,6.5,6.3,5.9,2023-10-19 19:58:19.247,2,
142,2023-03-01,10000171,Sub-16,16.0,178.5,22.5345039976775,71.8,23.5535346086335,16.9114378489988,8.14032083770214,46.6614969574125,33.5029548154222,4.11567989559481,52.4,,98.4,38.9,29.7,19.5,28.7,7.0,9.6,55.1,27.2,30.1,24.5,91.5,79.2,96.5,57.4,52.4,38.4,8.5,7.8,7.4,10.7,10.2,7.8,2023-10-19 19:58:19.247,1,
143,2023-03-01,10000040,Sub-17,17.0,169.5,25.5827916568773,73.5,18.9985482190224,13.9639329409815,9.13722504075233,51.6400557308296,37.9554409621598,4.15393522572523,45.7,,89.1,40.2,29.3,20.5,27.7,7.0,10.3,56.5,30.7,32.0,26.4,91.6,75.6,97.0,58.5,55.5,40.1,7.6,8.6,8.4,10.7,7.3,3.1,2023-10-19 19:58:19.247,2,
144,2023-03-01,10000015,Sub-17,16.0,174.2,18.915402673992,57.4,26.7524694201485,15.3559174471652,7.11723835032386,41.8316184902084,24.0113490133796,3.3736890394133,45.4,,94.8,37.8,27.1,18.0,26.3,6.2,9.4,55.0,24.0,25.7,23.1,85.6,71.0,89.7,49.0,46.4,31.4,7.6,7.8,5.3,8.6,10.2,5.9,2023-10-19 19:58:19.247,2,
145,2023-03-01,10000051,Sub-15,15.1,165.6,22.6449275362319,62.1,23.4437947777941,14.5585965570101,8.87388758968949,42.2413850238053,26.2319000997831,2.95607757419215,52.3,,93.0,38.8,28.7,19.7,28.6,7.1,10.3,53.3,26.7,29.0,25.5,86.5,76.7,89.5,53.4,51.7,26.5,9.4,8.6,8.4,10.7,10.2,5.0,2023-10-19 19:58:19.247,2,
